StateName,1/31/2005,1/31/2006,1/31/2007,1/31/2008,1/31/2009,1/31/2010,1/31/2011,1/31/2012,1/31/2013,1/31/2014,1/31/2015,1/31/2016,1/31/2017,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023
26,3.091264224,3.079986122,2.971487051,2.732404651,2.531298785,2.189703513,2.05897848,1.935678164,2.024828288,2.227786597,2.335304655,2.452315606,2.501900257,2.617712078,2.655085169,2.722406511,2.928583488,3.106164475,3.184174419
27,3.765831434,3.834756228,3.72177404,3.484693447,3.247014253,3.06780751,2.850719798,2.545841561,2.668764131,2.886815322,2.914660589,3.010353864,3.072238695,3.193252532,3.192827149,3.286688111,3.508635009,3.675359363,3.689723287
28,3.04834857,3.119919943,3.209026542,3.144291331,3.123058918,3.016293197,2.931573027,2.880492902,2.842005034,2.72287318,2.836204631,2.956967119,2.88901105,2.856829474,2.873285906,2.887083405,3.029765186,3.202837351,3.16551984
29,3.012434586,3.102450568,3.034470238,2.902424194,2.90275758,2.872354633,2.703946317,2.555134084,2.51798019,2.534370397,2.520205295,2.588819296,2.623270654,2.718552507,2.720921167,2.752786454,2.961631972,3.201026295,3.270928713
30,0,4.135320597,4.196114794,4.350091705,4.474814539,4.27517521,4.022015002,3.874844751,3.915891591,4.17797489,4.119993232,4.384349485,4.234981456,4.334526524,4.431485458,4.460576745,4.866411518,5.814141836,5.936188386
31,2.770493863,2.772863825,2.743977473,2.574499449,2.610934751,2.607185215,2.444754979,2.400657623,2.430751592,2.463306632,2.438548924,2.505282738,2.492365858,2.66585759,2.653543026,2.736244034,2.929430955,3.10981715,3.164473809
32,5.713793179,6.087147294,5.888431528,5.01454732,3.746559157,2.974186096,2.876797519,2.543959723,2.739931368,3.500493102,3.75001859,3.905454862,3.950887821,4.442063752,4.618132207,4.641256046,4.88237623,5.520057874,5.462624945
33,4.131543251,4.243156197,4.012924317,3.786982316,3.67214792,3.461335274,3.302488221,3.14095804,3.126565153,3.144308164,3.066218789,3.217159827,3.246806958,3.399302122,3.446993754,3.404859546,3.653185826,4.109003273,4.284052058
34,4.999312109,5.451093079,5.425256475,4.988413646,4.700189907,4.474758065,4.31369187,3.883023127,3.876562165,3.938853015,4.067178649,3.99908286,3.879912105,3.963410805,3.927265196,4.011420392,4.327127207,4.497880373,4.635245342
35,3.910631863,4.005637471,4.422110477,4.346039857,4.190558376,4.128597733,3.909935674,3.716255379,3.652113033,3.590208924,3.60627209,3.586613926,3.679293867,3.764343603,3.581320352,3.728722184,4.096904249,4.254000779,4.4492365
36,4.809722316,5.161104307,5.177472686,4.973509386,4.879509503,4.739986245,4.598978934,4.37567466,4.33648298,4.384727109,4.386039969,4.437542531,4.482182293,4.552802156,4.560907949,4.700098388,4.979983952,5.121059663,5.195091453
37,3.582466692,3.608815923,3.652322127,3.628638117,3.775335476,3.643523383,3.471953211,3.221174751,3.190805892,3.251321847,3.254492011,3.239396309,3.274887113,3.417713239,3.416806467,3.486746366,3.773882177,4.114557235,4.369941944
38,0,0,0,0,3.351508414,3.281109571,3.137429102,3.03387543,3.255981874,3.343583406,3.474494077,3.702310095,3.548891174,3.391652418,3.304671501,3.377585449,3.439655769,3.378367517,3.322838813
39,2.825608484,2.840063137,2.729326965,2.593447962,2.628483547,2.538596948,2.421032134,2.265221722,2.225222279,2.258438566,2.250540427,2.323697904,2.347841297,2.389740406,2.436770603,2.498181618,2.720062205,2.832466662,2.972848572
40,2.608030857,2.593033033,2.528118219,2.513362996,2.585746918,2.571377871,2.471530991,2.368678735,2.353530418,2.331985417,2.375375548,2.397065817,2.440589151,2.431763345,2.407043409,2.516148389,2.74523605,2.920486749,3.068138373
41,4.555730873,5.056833111,5.436406082,5.342210317,5.053954719,4.81205485,4.465680338,3.94474634,4.040435285,4.419635683,4.496950898,4.750240459,5.046631562,5.158845473,5.138242319,5.182510822,5.590635189,6.162877616,5.948183609
42,3.106233491,3.324257695,3.348204541,3.265563504,3.234182732,3.197401763,3.076963678,2.902493691,2.874004024,2.858122435,2.760174407,2.796045896,2.76992375,2.812388395,2.800982421,2.836909263,3.012340082,3.161935209,3.295516377
44,5.1128013,5.567593978,5.302812059,4.874908736,4.417575121,4.282715936,4.097437725,3.747589095,3.645891512,3.904972096,3.801216128,3.847737933,3.882148841,4.142928264,3.935990584,4.023853621,4.407341891,4.513772475,4.717154417
45,3.475843865,3.606455625,3.682653301,3.607613555,3.640384155,3.488595757,3.335192119,3.124413582,3.113742674,3.159714291,3.123074794,3.167946803,3.250368956,3.309167908,3.244041461,3.335631827,3.593870839,3.903450163,4.123938543
46,3.096119993,3.105769793,3.169719528,3.087561568,3.208283358,3.083323318,2.943320047,2.935376446,3.108758913,3.11740757,3.074604059,3.168908445,3.166280597,3.336145323,3.292225786,3.293192864,3.42240737,3.76406811,3.990212668
47,3.268951178,3.375197239,3.409969889,3.367390478,3.408096975,3.306768187,3.220951419,3.041750622,2.988742055,3.108125876,3.044146141,3.179782969,3.230534396,3.397008989,3.373387937,3.537437127,3.806235675,4.195797888,4.417597
48,3.070020947,2.967522243,2.935288809,2.862768951,2.866030927,2.831891531,2.72775053,2.594219316,2.626130048,2.746776989,2.830442479,3.026500693,3.087452527,3.202542179,3.207019402,3.270312464,3.471995185,3.808469126,3.96916523
49,3.743518876,3.692871876,3.994327112,4.326497191,4.091861175,3.777180317,3.440013997,3.203604316,3.31322554,3.58388505,3.601080946,3.770708136,3.928789883,4.114750735,4.229575389,4.425198578,4.948769203,5.481918192,5.393839579
50,3.863328969,4.148070603,4.260063105,4.188188548,4.141450893,4.216825503,3.97636588,3.941803098,4.088684883,4.064451717,3.936406515,3.990578985,4.097791791,4.072646984,4.056921823,3.911701057,4.025788022,4.552348488,4.488408618
51,3.892815053,4.473280271,4.380534092,4.115673059,3.847675729,3.58402148,3.449347237,3.356410134,3.454741565,3.48199606,3.484536932,3.500326707,3.422236741,3.500522222,3.432407464,3.490520938,3.719760629,3.880705074,3.948267401
53,4.730187351,5.244718886,5.56277355,5.405659644,5.030124346,4.68120423,4.271038487,3.833248085,3.824578545,3.987897112,4.049112779,4.297920828,4.480715189,4.761913119,4.835319295,4.944570133,5.450241561,5.910443225,5.895613629
54,2.693258339,2.756126325,2.681323734,2.662739788,2.667239273,2.520919898,2.505141022,2.382792164,2.407532279,2.393128281,2.406598246,2.45863397,2.448011822,2.4657269,2.306328774,2.281784561,2.499060931,2.561300191,2.644425947
55,3.410559624,3.508202329,3.45154443,3.353898585,3.31373992,3.253594304,3.029234833,2.82721265,2.840893654,2.883169771,2.804205022,2.882663986,2.909521853,3.00516505,3.022874547,3.142318992,3.395976398,3.554684689,3.631247407
56,3.51040587,3.687126631,3.716897039,3.792245039,3.803455336,3.641207348,3.444213636,3.521796315,3.47522306,3.642485791,3.554705705,3.806588741,3.778050639,3.74843136,3.637308498,3.873982775,4.165299793,4.300545306,4.45352779
